Hotel_Name,Location,Price,Rating,Scores,Reviews,Url
Parv studio,"Western Suburbs, Mumbai",₹ 350,N/A,N/A,N/A,https://www.booking.com/hotel/in/parv-studio.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4Aue_wb4GwAIB0gIkODk3MzI4MjYtZTQzZS00OWY5LTkyYjUtNDhlYzdlNWJkZjQx2AIF4AIB&sid=5f2834736fbec31ef1b1025cda171a42&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-17&checkout=2025-03-18&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=2906857e8db7007d&srepoch=1741719551&all_sr_blocks=1374220101_409574697_4_0_0&highlighted_blocks=1374220101_409574697_4_0_0&matching_block_id=1374220101_409574697_4_0_0&sr_pri_blocks=1374220101_409574697_4_0_0__35000&from=searchresults
FabHotel Raj Palace I,"Western Suburbs, Mumbai","₹ 3,059",N/A,N/A,N/A,https://www.booking.com/hotel/in/fabhotel-raj-palace-i.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4Aue_wb4GwAIB0gIkODk3MzI4MjYtZTQzZS00OWY5LTkyYjUtNDhlYzdlNWJkZjQx2AIF4AIB&sid=5f2834736fbec31ef1b1025cda171a42&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-17&checkout=2025-03-18&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=2906857e8db7007d&srepoch=1741719551&all_sr_blocks=1370677901_409411706_0_0_0&highlighted_blocks=1370677901_409411706_0_0_0&matching_block_id=1370677901_409411706_0_0_0&sr_pri_blocks=1370677901_409411706_0_0_0__305938&from=searchresults
Radisson Blu Mumbai International Airport,"Western Suburbs, Mumbai","₹ 10,439",Fabulous,8.98.9,"2,909 reviews",https://www.booking.com/hotel/in/radisson-blu-mumbai-international-airport.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4Aue_wb4GwAIB0gIkODk3MzI4MjYtZTQzZS00OWY5LTkyYjUtNDhlYzdlNWJkZjQx2AIF4AIB&sid=5f2834736fbec31ef1b1025cda171a42&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-17&checkout=2025-03-18&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=2906857e8db7007d&srepoch=1741719551&all_sr_blocks=683218602_278509017_2_42_0&highlighted_blocks=683218602_278509017_2_42_0&matching_block_id=683218602_278509017_2_42_0&sr_pri_blocks=683218602_278509017_2_42_0__1043910&from=searchresults
Treebo Castle Rock Inn,"Western Suburbs, Mumbai","₹ 3,393",Review score,6.86.8,88 reviews,https://www.booking.com/hotel/in/treebo-trend-castle-rock-inn-mumbai.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4Aue_wb4GwAIB0gIkODk3MzI4MjYtZTQzZS00OWY5LTkyYjUtNDhlYzdlNWJkZjQx2AIF4AIB&sid=5f2834736fbec31ef1b1025cda171a42&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-17&checkout=2025-03-18&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=2906857e8db7007d&srepoch=1741719551&all_sr_blocks=943098401_400592713_2_1_0_34975&highlighted_blocks=943098401_400592713_2_1_0_34975&matching_block_id=943098401_400592713_2_1_0_34975&sr_pri_blocks=943098401_400592713_2_1_0_34975_339329&from=searchresults
Hotel A K Fort Inn,"South Mumbai, Mumbai","₹ 3,240",Good,7.17.1,142 reviews,https://www.booking.com/hotel/in/a-k-fort-inn.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4Aue_wb4GwAIB0gIkODk3MzI4MjYtZTQzZS00OWY5LTkyYjUtNDhlYzdlNWJkZjQx2AIF4AIB&sid=5f2834736fbec31ef1b1025cda171a42&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-17&checkout=2025-03-18&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=2906857e8db7007d&srepoch=1741719551&all_sr_blocks=1072392301_399274029_2_42_0&highlighted_blocks=1072392301_399274029_2_42_0&matching_block_id=1072392301_399274029_2_42_0&sr_pri_blocks=1072392301_399274029_2_42_0__324000&from=searchresults
FabHotel Royal International - Nr Mumbai International Airport,"Western Suburbs, Mumbai","₹ 2,662",Good,7.17.1,667 reviews,https://www.booking.com/hotel/in/fabhotel-ri-mumbai-international-airport.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4Aue_wb4GwAIB0gIkODk3MzI4MjYtZTQzZS00OWY5LTkyYjUtNDhlYzdlNWJkZjQx2AIF4AIB&sid=5f2834736fbec31ef1b1025cda171a42&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-17&checkout=2025-03-18&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=2906857e8db7007d&srepoch=1741719551&all_sr_blocks=1043357701_398324265_2_2_0&highlighted_blocks=1043357701_398324265_2_2_0&matching_block_id=1043357701_398324265_2_2_0&sr_pri_blocks=1043357701_398324265_2_2_0__266193&from=searchresults
Room F1,"Western Suburbs, Mumbai","₹ 2,250",N/A,N/A,N/A,https://www.booking.com/hotel/in/room-f1.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4Aue_wb4GwAIB0gIkODk3MzI4MjYtZTQzZS00OWY5LTkyYjUtNDhlYzdlNWJkZjQx2AIF4AIB&sid=5f2834736fbec31ef1b1025cda171a42&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-17&checkout=2025-03-18&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=2906857e8db7007d&srepoch=1741719551&all_sr_blocks=1372771401_409453222_2_0_0&highlighted_blocks=1372771401_409453222_2_0_0&matching_block_id=1372771401_409453222_2_0_0&sr_pri_blocks=1372771401_409453222_2_0_0__225000&from=searchresults
Room Sunshine,"Western Suburbs, Mumbai","₹ 3,500",N/A,N/A,N/A,https://www.booking.com/hotel/in/room-sunshine.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4Aue_wb4GwAIB0gIkODk3MzI4MjYtZTQzZS00OWY5LTkyYjUtNDhlYzdlNWJkZjQx2AIF4AIB&sid=5f2834736fbec31ef1b1025cda171a42&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-17&checkout=2025-03-18&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=2906857e8db7007d&srepoch=1741719551&all_sr_blocks=1372744401_409450873_2_0_0&highlighted_blocks=1372744401_409450873_2_0_0&matching_block_id=1372744401_409450873_2_0_0&sr_pri_blocks=1372744401_409450873_2_0_0__350000&from=searchresults
Hotel V-G Park Masjid bandar West,"South Mumbai, Mumbai","₹ 1,968",Review score,6.76.7,25 reviews,https://www.booking.com/hotel/in/lavish-park-masjid-bandar-west.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4Aue_wb4GwAIB0gIkODk3MzI4MjYtZTQzZS00OWY5LTkyYjUtNDhlYzdlNWJkZjQx2AIF4AIB&sid=5f2834736fbec31ef1b1025cda171a42&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-17&checkout=2025-03-18&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=2906857e8db7007d&srepoch=1741719551&all_sr_blocks=1350024201_407349927_2_1_0&highlighted_blocks=1350024201_407349927_2_1_0&matching_block_id=1350024201_407349927_2_1_0&sr_pri_blocks=1350024201_407349927_2_1_0__196757&from=searchresults
Glitz Hotels Seven Hills - Nr International Airport Mumbai,"Western Suburbs, Mumbai","₹ 2,197",N/A,N/A,N/A,https://www.booking.com/hotel/in/glitz-hotels-so-olives.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4Aue_wb4GwAIB0gIkODk3MzI4MjYtZTQzZS00OWY5LTkyYjUtNDhlYzdlNWJkZjQx2AIF4AIB&sid=5f2834736fbec31ef1b1025cda171a42&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-17&checkout=2025-03-18&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=2906857e8db7007d&srepoch=1741719551&all_sr_blocks=1374123301_409564716_2_2_0&highlighted_blocks=1374123301_409564716_2_2_0&matching_block_id=1374123301_409564716_2_2_0&sr_pri_blocks=1374123301_409564716_2_2_0__219744&from=searchresults
